opcode         name                       target                     args                                                                                                                                                        kwargs
call_module    blocks_3_3_se_act1         blocks.3.3.se.act1         (blocks_3_3_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_3_3_se_conv_expand  blocks.3.3.se.conv_expand  (blocks_3_3_se_act1,)                                                                                                                                       {}
call_module    blocks_3_3_se_gate         blocks.3.3.se.gate         (blocks_3_3_se_conv_expand,)                                                                                                                                {}
call_function  mul_11                     <built-in function mul>    (blocks_3_3_act2, blocks_3_3_se_gate)                                                                                                                       {}
call_module    blocks_3_3_conv_pwl        blocks.3.3.conv_pwl        (mul_11,)                                                                                                                                                   {}
call_module    blocks_3_3_bn3             blocks.3.3.bn3             (blocks_3_3_conv_pwl,)                                                                                                                                      {}
call_function  add_7                      <built-in function add>    (blocks_3_3_bn3, add_6)                                                                                                                                     {}
call_module    blocks_3_4_conv_pw         blocks.3.4.conv_pw         (add_7,)                                                                                                                                                    {}
call_module    blocks_3_4_bn1             blocks.3.4.bn1             (blocks_3_4_conv_pw,)                                                                                                                                       {}
call_module    blocks_3_4_act1            blocks.3.4.act1            (blocks_3_4_bn1,)                                                                                                                                           {}
call_module    blocks_3_4_conv_dw         blocks.3.4.conv_dw         (blocks_3_4_act1,)                                                                                                                                          {}
call_module    blocks_3_4_bn2             blocks.3.4.bn2             (blocks_3_4_conv_dw,)                                                                                                                                       {}
call_module    blocks_3_4_act2            blocks.3.4.act2            (blocks_3_4_bn2,)                                                                                                                                           {}
call_method    mean_12                    mean                       (blocks_3_4_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_3_4_se_conv_reduce  blocks.3.4.se.conv_reduce  (mean_12,)                                                                                                                                                  {}
call_module    blocks_3_4_se_act1         blocks.3.4.se.act1         (blocks_3_4_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_3_4_se_conv_expand  blocks.3.4.se.conv_expand  (blocks_3_4_se_act1,)                                                                                                                                       {}
call_module    blocks_3_4_se_gate         blocks.3.4.se.gate         (blocks_3_4_se_conv_expand,)                                                                                                                                {}
call_function  mul_12                     <built-in function mul>    (blocks_3_4_act2, blocks_3_4_se_gate)                                                                                                                       {}
call_module    blocks_3_4_conv_pwl        blocks.3.4.conv_pwl        (mul_12,)                                                                                                                                                   {}
call_module    blocks_3_4_bn3             blocks.3.4.bn3             (blocks_3_4_conv_pwl,)                                                                                                                                      {}
call_function  add_8                      <built-in function add>    (blocks_3_4_bn3, add_7)                                                                                                                                     {}
